Wavelength,sCone,mCone,lCone,rod,mel
424,0.580612328,0.012938201,0.020339441,0.1334,0.166484995
425,0.60958109,0.013880219,0.021417097,0.1436,0.179043574
426,0.639373613,0.01487614,0.022553171,0.1541,0.19247151
427,0.669661147,0.01592737,0.023745617,0.1651,0.206727598
428,0.699822031,0.017035488,0.024986036,0.1764,0.221683211
429,0.729188921,0.018200573,0.026263608,0.1879,0.237166585
430,0.756891124,0.019421283,0.027563277,0.1998,0.252933827
431,0.782299874,0.020697623,0.028871991,0.2119,0.268775639
432,0.805685167,0.022024328,0.030190557,0.2243,0.284727173
433,0.827613272,0.02339568,0.031521133,0.2369,0.300922429
434,0.848797107,0.024803155,0.032869025,0.2496,0.317547497
435,0.869994496,0.026237531,0.034239878,0.2625,0.334835012
436,0.8917818,0.027687858,0.035637315,0.2755,0.35297629
437,0.913460344,0.029145874,0.037050298,0.2886,0.371769655
438,0.93397098,0.030603624,0.038461218,0.3017,0.39086331
439,0.952217962,0.032053196,0.039851011,0.3149,0.409843029
440,0.966967123,0.033486807,0.041199292,0.3281,0.428214392
441,0.97735125,0.034898397,0.042489804,0.3412,0.445547274
442,0.984040208,0.036299129,0.043739453,0.3543,0.461966277
443,0.988159648,0.037709208,0.044980228,0.3673,0.477805847
444,0.990855423,0.039147554,0.046244185,0.3803,0.493434074
445,0.993344686,0.040641206,0.047567762,0.3931,0.509317921
446,0.996388236,0.042209786,0.048983467,0.406,0.525821609
447,0.999054961,0.043838595,0.050476386,0.418,0.54275882
448,1,0.045499037,0.052020073,0.431,0.559767065
449,0.997851482,0.047158374,0.053581547,0.443,0.576431154
450,0.991343297,0.048779178,0.055128364,0.455,0.592301808
451,0.979671789,0.050335409,0.056632667,0.467,0.607017328
452,0.963910629,0.051852435,0.05811959,0.479,0.620694302
453,0.945581774,0.053375483,0.059627481,0.49,0.633623328
454,0.926080374,0.054956105,0.061202345,0.502,0.646110296
455,0.906748713,0.05665173,0.06289206,0.513,0.658516884
456,0.888521859,0.058514853,0.064742094,0.524,0.671156081
457,0.871375452,0.06054739,0.066764121,0.535,0.684141719
458,0.855003074,0.062740038,0.068961356,0.546,0.697541979
459,0.839204034,0.065084051,0.071341094,0.557,0.711453716
460,0.823727282,0.067561513,0.073904367,0.567,0.725944379
461,0.808316481,0.070155809,0.076652072,0.578,0.741056909
462,0.792443965,0.072844918,0.07956127,0.588,0.756550943
463,0.77557752,0.075607877,0.08260168,0.599,0.772153564
464,0.757263754,0.078412642,0.085736346,0.61,0.787540702
465,0.737051947,0.081225012,0.088919717,0.62,0.802341232
466,0.714744069,0.08401614,0.092115765,0.631,0.816304306
467,0.690558383,0.086780042,0.095317607,0.642,0.829513787
468,0.664888776,0.089515145,0.098536635,0.653,0.842168062
469,0.638085377,0.092229872,0.101786127,0.664,0.854513503
470,0.610455904,0.094921524,0.105073134,0.676,0.866760032
471,0.582348969,0.097596911,0.10841694,0.687,0.879089769
472,0.554074502,0.100275561,0.11183269,0.699,0.891362644
473,0.525916981,0.102976327,0.115339441,0.71,0.903354782
474,0.498112903,0.105719724,0.118958319,0.722,0.914813427
475,0.470899009,0.108533757,0.122719239,0.734,0.925507175
476,0.444457567,0.111444448,0.126641712,0.745,0.935233515
477,0.418995684,0.114456639,0.130734929,0.757,0.943990649
478,0.394702772,0.117578778,0.135003607,0.769,0.951862364
479,0.37171441,0.120813206,0.139449743,0.781,0.958938545
480,0.350111505,0.12416424,0.144074764,0.793,0.965292053
481,0.329905534,0.127631001,0.148878682,0.805,0.971011764
482,0.310862088,0.131183526,0.153831042,0.817,0.976136801
483,0.292746339,0.134774763,0.158888682,0.828,0.980693724
484,0.275340563,0.138355544,0.163993163,0.84,0.984669426
485,0.258502174,0.14186573,0.16909289,0.851,0.988109387
486,0.242157191,0.145274442,0.174151294,0.862,0.991035794
487,0.226503383,0.148640603,0.179242174,0.873,0.993490799
488,0.211725796,0.152063427,0.184476898,0.884,0.995498955
489,0.197963717,0.155647506,0.189990086,0.894,0.997108553
490,0.185299478,0.159506208,0.195909555,0.904,0.998322722
491,0.173754559,0.163737428,0.20236969,0.914,0.999209844
492,0.163149769,0.168290558,0.209310107,0.923,0.999763323
493,0.15331306,0.173069677,0.216638125,0.932,1
494,0.144087152,0.177972952,0.224235096,0.941,0.999932898
495,0.135352981,0.182879529,0.231961141,0.949,0.999586019
496,0.127011907,0.187677671,0.239692348,0.957,0.998929582
497,0.119019983,0.192400936,0.247445728,0.964,0.997958047
498,0.111334333,0.197090243,0.255264724,0.97,0.996554045
499,0.103935069,0.201825187,0.263226201,0.976,0.994728628
500,0.096801064,0.206668406,0.271400235,0.982,0.992383674
501,0.08991736,0.211686723,0.279856416,0.986,0.989489199
502,0.083289221,0.216865362,0.288579714,0.99,0.986010418
503,0.076916411,0.222173378,0.297551653,0.994,0.98192875
504,0.070806687,0.227577542,0.30675088,0.997,0.977243951
505,0.064962403,0.233037451,0.316125711,0.998,0.971906661
506,0.059406212,0.238510787,0.325647365,1,0.965921012
507,0.054209135,0.243970965,0.335301675,1,0.959275074
508,0.049428368,0.249391552,0.345053391,1,0.951921472
509,0.045099767,0.254758366,0.354906628,0.998,0.943897684
510,0.041234048,0.260037306,0.364826423,0.997,0.9351719
511,0.037815058,0.265206229,0.374789974,0.994,0.925721831
512,0.03476349,0.270299468,0.384821686,0.99,0.915458138
513,0.032003456,0.275367376,0.394956457,0.986,0.904304453
514,0.029474834,0.280459504,0.405207335,0.981,0.89215499
515,0.027130494,0.285631046,0.415631898,0.975,0.87896629
516,0.024937988,0.290918764,0.426229617,0.968,0.864694579
517,0.022893553,0.29622507,0.436906568,0.961,0.849435782
518,0.020995896,0.301422427,0.44751113,0.953,0.833326631
519,0.019242601,0.306381989,0.457901849,0.944,0.816533048
520,0.017630198,0.310950711,0.467907453,0.935,0.79917198
521,0.016150135,0.315004805,0.477368149,0.925,0.781347596
522,0.014791345,0.318571282,0.486315158,0.915,0.76315157
523,0.013541023,0.321706752,0.494807866,0.904,0.744658894
524,0.012388739,0.324481924,0.502923275,0.892,0.725924524
525,0.011325415,0.326956204,0.510719723,0.88,0.707001572
526,0.010343888,0.329209654,0.518305749,0.867,0.687959898
527,0.009441161,0.331258685,0.525672011,0.854,0.668770054
528,0.00861371,0.333126703,0.532843628,0.84,0.649411895
529,0.007858314,0.334828438,0.539813284,0.826,0.629871493
530,0.007171073,0.33639202,0.546610798,0.811,0.610155184
531,0.006546572,0.337827582,0.55323494,0.796,0.590257559
532,0.00597792,0.339195759,0.559806614,0.781,0.570313246
533,0.005458036,0.340514272,0.566411859,0.765,0.550397241
534,0.004981295,0.341836903,0.573173905,0.749,0.530634373
535,0.004542986,0.343216064,0.580209212,0.733,0.511117406
536,0.004139143,0.344666261,0.587606845,0.717,0.491908671
537,0.00376801,0.346112031,0.595223838,0.7,0.473015556
538,0.003427829,0.347435046,0.602840601,0.683,0.454424777
539,0.003117016,0.348541662,0.610259659,0.667,0.436141276
540,0.002833591,0.349321905,0.617260871,0.65,0.418159576
541,0.002575616,0.349676,0.623629699,0.633,0.40047876
542,0.002340864,0.349587816,0.629305661,0.616,0.383125107
543,0.002127257,0.349058653,0.634276554,0.599,0.366124233
